detections,attack,application,category,threatType,severity,risk,region
3,Activity_Monitor_3_8 init connection,custom-tcp,keylogger,malware,high,threat,americas
6,Activity_Monitor_3_8 init connection,custom-tcp,keylogger,malware,high,threat,asiapacific
1,Adobe Acrobat and Adobe Reader U3D RHAdobeMeta Buffer Overflow,web-browsing,overflow,exploit,critical,threat,asiapacific
6,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,clearspace,code-execution,exploit,high,threat,europe
62,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,http-proxy,code-execution,exploit,high,threat,europe
1,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,http-proxy,code-execution,exploit,high,threat,japan
19,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,lotus-notes-base,code-execution,exploit,high,threat,asiapacific
4,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,soap,code-execution,exploit,high,threat,europe
303,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
4,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
68,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
65,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,web-browsing,code-execution,exploit,high,threat,japan
20,Adobe Acrobat Reader Plugin Crafted URL Double Free Vulnerability,0,code-execution,exploit,high,threat,asiapacific
9,Adobe ColdFusion FCKeditor Arbitrary File Upload Vulnerability,web-browsing,code-execution,exploit,medium,threat,americas
20,Adobe ColdFusion FCKeditor Arbitrary File Upload Vulnerability,web-browsing,code-execution,exploit,medium,threat,europe
2,Adobe ColdFusion Multiple Directory Traversal Vulnerabilities,sharepoint-base,code-execution,exploit,high,threat,americas
865,Adobe ColdFusion Multiple Directory Traversal Vulnerabilities,web-browsing,code-execution,exploit,high,threat,americas
455,Adobe ColdFusion Multiple Directory Traversal Vulnerabilities,web-browsing,code-execution,exploit,high,threat,asiapacific
251,Adobe ColdFusion Multiple Directory Traversal Vulnerabilities,web-browsing,code-execution,exploit,high,threat,europe
44,Adobe ColdFusion Multiple Directory Traversal Vulnerabilities,web-browsing,code-execution,exploit,high,threat,japan
35,Adobe ColdFusion Multiple Directory Traversal Vulnerabilities,0,code-execution,exploit,high,threat,europe
4,Adobe Flash MP4 Decoder Stack Overflow Vulnerability,flash,overflow,exploit,high,threat,asiapacific
1,Adobe Flash MP4 Decoder Stack Overflow Vulnerability,http-proxy,overflow,exploit,high,threat,asiapacific
4,Adobe Flash MP4 Decoder Stack Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,americas
4,Adobe Flash MP4 Decoder Stack Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,asiapacific
4,Adobe Flash MP4 Decoder Stack Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,europe
50,Adobe Flash MP4 Decoder Stack Overflow Vulnerability,0,overflow,exploit,high,threat,asiapacific
7,Adobe Flash OpenType Font Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
1,Adobe Flash OpenType Font Vulnerability,0,code-execution,exploit,critical,threat,asiapacific
621,Adobe Flash Player ActionPush Bytecode Remote Memory Corruption Vulnerability,flash,code-execution,exploit,high,threat,americas
1,Adobe Flash Player ActionPush Bytecode Remote Memory Corruption Vulnerability,ruckus,code-execution,exploit,high,threat,americas
1,Adobe Flash Player ActionScript Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
38,Adobe Flash Player Authplay.dll Component Remote Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
41,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,americas
106,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
97,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,europe
3,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,japan
2,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,ftp,code-execution,exploit,critical,threat,europe
2,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,web-crawler,code-execution,exploit,critical,threat,europe
6,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,0,code-execution,exploit,critical,threat,americas
2,Adobe Flash Player Bounds Checking Remote Code Execution Vulnerability,0,code-execution,exploit,critical,threat,europe
1,Adobe Flash Player Code Execution Vulnerability,flash,code-execution,exploit,high,threat,europe
38,Adobe Flash Player for Linux ActionScript ASnative Command Execution,flash,code-execution,exploit,high,threat,asiapacific
52,Adobe Flash Player JPG Embedded SWF Processing Heap Overflow,flash,overflow,exploit,critical,threat,americas
19,Adobe Flash Player JPG Embedded SWF Processing Heap Overflow,flash,overflow,exploit,critical,threat,asiapacific
92,Adobe Flash Player JPG Embedded SWF Processing Heap Overflow,flash,overflow,exploit,critical,threat,europe
17,Adobe Flash Player JPG Embedded SWF Processing Heap Overflow,flash,overflow,exploit,critical,threat,japan
2,Adobe Flash Player JPG Embedded SWF Processing Heap Overflow,issuu-base,overflow,exploit,critical,threat,americas
31,Adobe Flash Player JPG Embedded SWF Processing Heap Overflow,0,overflow,exploit,critical,threat,asiapacific
2,Adobe Flash Player JPG Embedded SWF Processing Heap Overflow,0,overflow,exploit,critical,threat,europe
18,Adobe Flash Player Memory Corruption Vulnerability,flash,code-execution,exploit,high,threat,europe
2,Adobe Flash Player Memory Corruption Vulnerability,web-crawler,code-execution,exploit,high,threat,europe
38,Adobe Flash Player MP4 Parsing Memory Corruption Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
7,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,brighttalk,code-execution,exploit,critical,threat,asiapacific
40,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,americas
51,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
19,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,europe
2,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,http-proxy,code-execution,exploit,critical,threat,japan
39,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,web-browsing,code-execution,exploit,critical,threat,asiapacific
1,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,yahoo-douga,code-execution,exploit,critical,threat,japan
1,Adobe Flash Player Multimedia File DefineSceneAndFrameLabelData Code Execution Vulnerability,0,code-execution,exploit,critical,threat,asiapacific
38,Adobe Flash Player Remote Code Execution Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
38,Adobe Flash Player Video File Parsing Overflow Vulnerability,web-browsing,code-execution,exploit,critical,threat,asiapacific
4,Adobe Foxit Reader PDF Escape Remote Command Execution,pop3,code-execution,exploit,medium,threat,europe
17,Adobe Foxit Reader PDF Escape Remote Command Execution,smtp,code-execution,exploit,medium,threat,americas
2,Adobe Foxit Reader PDF Escape Remote Command Execution,web-browsing,code-execution,exploit,medium,threat,americas
1,Adobe PDF Reader Code Execution Vulnerability,web-browsing,code-execution,exploit,critical,threat,americas
2,Adobe PDF Reader Memory Corruption Vulnerability,aim-mail,code-execution,exploit,high,threat,europe
1,Adobe PDF Reader Memory Corruption Vulnerability,http-proxy,code-execution,exploit,high,threat,americas
5,Adobe PDF Reader Memory Corruption Vulnerability,http-proxy,code-execution,exploit,high,threat,europe
2,Adobe PDF Reader Memory Corruption Vulnerability,sharepoint-base,code-execution,exploit,high,threat,americas
4,Adobe PDF Reader Memory Corruption Vulnerability,smtp,code-execution,exploit,high,threat,americas
6,Adobe PDF Reader Memory Corruption Vulnerability,smtp,code-execution,exploit,high,threat,europe
6,Adobe PDF Reader Memory Corruption Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
49,Adobe PDF Reader Memory Corruption Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
8,Adobe PDF Reader Memory Corruption Vulnerability,web-crawler,code-execution,exploit,high,threat,americas
4,Adobe PDF Reader Memory Corruption Vulnerability,web-crawler,code-execution,exploit,high,threat,europe
2,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,4shared,code-execution,exploit,critical,threat,americas
2,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,http-proxy,code-execution,exploit,critical,threat,japan
1,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,imap,code-execution,exploit,critical,threat,asiapacific
1,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,pop3,code-execution,exploit,critical,threat,asiapacific
1,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,sharepoint-base,code-execution,exploit,critical,threat,asiapacific
4,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,smtp,code-execution,exploit,critical,threat,americas
1,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,smtp,code-execution,exploit,critical,threat,asiapacific
3,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,smtp,code-execution,exploit,critical,threat,europe
2,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,smtp,code-execution,exploit,critical,threat,japan
292,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,web-browsing,code-execution,exploit,critical,threat,americas
14,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,web-browsing,code-execution,exploit,critical,threat,asiapacific
33,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,web-browsing,code-execution,exploit,critical,threat,europe
3,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,web-browsing,code-execution,exploit,critical,threat,japan
72,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,web-crawler,code-execution,exploit,critical,threat,americas
2,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,web-crawler,code-execution,exploit,critical,threat,europe
2,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,yahoo-mail,code-execution,exploit,critical,threat,europe
2,Adobe Reader and Acrobat JBIG2Decode Remote Code Execution Vulnerability,0,code-execution,exploit,critical,threat,japan
4,ADODB.Connection ActiveX Control Memory Corruption Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
16,Agent User-Agent Traffic,http-proxy,spyware,malware,medium,threat,europe
24201,Agent User-Agent Traffic,web-browsing,spyware,malware,medium,threat,americas
45361,Agent User-Agent Traffic,web-browsing,spyware,malware,medium,threat,asiapacific
2348,Agent User-Agent Traffic,web-browsing,spyware,malware,medium,threat,europe
3,Agent User-Agent Traffic,web-browsing,spyware,malware,medium,threat,japan
3,Agent User-Agent Traffic,0,spyware,malware,medium,threat,americas
20,Agent User-Agent Traffic,0,spyware,malware,medium,threat,asiapacific
38,Agent.Gen Command And Control Traffic,web-browsing,botnet,malware,critical,threat,europe
14,Agent.Gen Command And Control Traffic,web-browsing,botnet,malware,critical,threat,europe
189,Agent2 User-Agent Traffic,web-browsing,spyware,malware,medium,threat,americas
437,Agent2 User-Agent Traffic,web-browsing,spyware,malware,medium,threat,asiapacific
63,Agent2 User-Agent Traffic,web-browsing,spyware,malware,medium,threat,europe
15,Agent2 User-Agent Traffic,0,spyware,malware,medium,threat,asiapacific
4,AgentInfo.Gen Command and Control Traffic,custom-tcp,backdoor,malware,high,threat,asiapacific
11,Ainfbot.Gen Command and Control Traffic,irc-base,botnet,malware,medium,threat,asiapacific
1,AINS function.inc.php path Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
32,Akarru main_content.php bm_content Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
4,Akarru main_content.php bm_content Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
49,Akarru main_content.php bm_content Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
20,Akarru main_content.php bm_content Parameter PHP File Include Vulnerability,webdav,code-execution,exploit,high,threat,europe
36,Alcatel OmniPCX Office FastJSData id2 Parameter Command Execution,web-browsing,code-execution,exploit,medium,threat,asiapacific
1,Alcatel OmniPCX Office MasterCGI user Parameter Command Execution,web-browsing,code-execution,exploit,medium,threat,asiapacific
6,Algorithmic Research PrivateWire Online Registration Remote Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,americas
13,Alt-N SecurityGateway Username Buffer Overflow Vulnerability,web-browsing,code-execution,exploit,critical,threat,americas
43,Alt-N WebAdmin USER Parameter Buffer Overflow Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
292,Alueron Command and Control Traffic,http-proxy,botnet,malware,critical,threat,americas
63363,Alueron Command and Control Traffic,web-browsing,botnet,malware,critical,threat,americas
10161,Alueron Command and Control Traffic,web-browsing,botnet,malware,critical,threat,asiapacific
8260,Alueron Command and Control Traffic,web-browsing,botnet,malware,critical,threat,europe
4,Alueron Command and Control Traffic,web-browsing,botnet,malware,critical,threat,japan
5831,Alueron Command and Control Traffic,0,botnet,malware,critical,threat,americas
8,Alueron Command and Control Traffic,0,botnet,malware,critical,threat,asiapacific
5,Amlib NetOpacs webquery.dll Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,americas
14,Android EASY Local Root Exploit,4shared,code-execution,exploit,critical,threat,americas
1,Android EASY Local Root Exploit,hotfile,code-execution,exploit,critical,threat,americas
7,Android EASY Local Root Exploit,http-proxy,code-execution,exploit,critical,threat,americas
5,Android EASY Local Root Exploit,http-proxy,code-execution,exploit,critical,threat,asiapacific
27,Android EASY Local Root Exploit,web-browsing,code-execution,exploit,critical,threat,americas
44,Android EASY Local Root Exploit,web-browsing,code-execution,exploit,critical,threat,asiapacific
11,Android EASY Local Root Exploit,web-browsing,code-execution,exploit,critical,threat,europe
2,Android EASY Local Root Exploit,0,code-execution,exploit,critical,threat,americas
32,AnnoncesV annonce.php page Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
5,AnnoncesV annonce.php page Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
51,AnnoncesV annonce.php page Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
20,AnnoncesV annonce.php page Parameter PHP File Include Vulnerability,webdav,code-execution,exploit,high,threat,europe
1,AOL Instant Messenger Away Message Buffer Overflow,web-browsing,overflow,exploit,medium,threat,asiapacific
1532,Apache ap_escape_html Memory Allocation Denial Of Service Vulnerability,custom-tcp,overflow,exploit,high,threat,asiapacific
71,Apache ap_escape_html Memory Allocation Denial Of Service Vulnerability,web-browsing,overflow,exploit,high,threat,americas
54426,Apache ap_escape_html Memory Allocation Denial Of Service Vulnerability,web-browsing,overflow,exploit,high,threat,asiapacific
604570,Apache ap_escape_html Memory Allocation Denial Of Service Vulnerability,web-browsing,overflow,exploit,high,threat,europe
11,Apache ap_escape_html Memory Allocation Denial Of Service Vulnerability,webdav,overflow,exploit,high,threat,asiapacific
10095,Apache ap_escape_html Memory Allocation Denial Of Service Vulnerability,0,overflow,exploit,high,threat,americas
46,Apache APR_PSPrintf Memory Corruption Vulnerability,webdav,code-execution,exploit,high,threat,asiapacific
1,Apache Chunk Encoding Parsing Buffer Overflow Vulnerability,http-proxy,code-execution,exploit,critical,threat,europe
248,Apache Chunk Encoding Parsing Buffer Overflow Vulnerability,custom-tcp,code-execution,exploit,critical,threat,asiapacific
500,Apache Chunk Encoding Parsing Buffer Overflow Vulnerability,web-browsing,code-execution,exploit,critical,threat,americas
82,Apache Chunk Encoding Parsing Buffer Overflow Vulnerability,web-browsing,code-execution,exploit,critical,threat,asiapacific
123,Apache Chunk Encoding Parsing Buffer Overflow Vulnerability,web-browsing,code-execution,exploit,critical,threat,europe
45,Apache Chunk Encoding Parsing Buffer Overflow Vulnerability,web-browsing,code-execution,exploit,critical,threat,japan
39,Apache HTTP Server mod_isapi Dangling Pointer Remote Code Execution Vulnerability,web-browsing,code-execution,exploit,critical,threat,asiapacific
2,Apache HTTP Server mod_tcl Module Format String Vulnerability,facebook-posting,code-execution,exploit,medium,threat,americas
2,Apache HTTP Server mod_tcl Module Format String Vulnerability,hotmail,code-execution,exploit,medium,threat,americas
322,Apache HTTP Server mod_tcl Module Format String Vulnerability,http-proxy,code-execution,exploit,medium,threat,europe
3,Apache HTTP Server mod_tcl Module Format String Vulnerability,http-proxy,code-execution,exploit,medium,threat,japan
4,Apache HTTP Server mod_tcl Module Format String Vulnerability,steam,code-execution,exploit,medium,threat,americas
3,Apache HTTP Server mod_tcl Module Format String Vulnerability,steam,code-execution,exploit,medium,threat,europe
24,Apache HTTP Server mod_tcl Module Format String Vulnerability,web-browsing,code-execution,exploit,medium,threat,americas
8,Apache HTTP Server mod_tcl Module Format String Vulnerability,web-browsing,code-execution,exploit,medium,threat,asiapacific
226,Apache HTTP Server mod_tcl Module Format String Vulnerability,web-browsing,code-execution,exploit,medium,threat,europe
93,Apache HTTP Server mod_tcl Module Format String Vulnerability,web-browsing,code-execution,exploit,medium,threat,japan
1,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,boxnet-base,code-execution,exploit,medium,threat,europe
2,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,dropbox,code-execution,exploit,medium,threat,japan
1,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,facebook-base,code-execution,exploit,medium,threat,europe
1,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,gmail-base,code-execution,exploit,medium,threat,americas
10,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,http-proxy,code-execution,exploit,medium,threat,americas
32,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,http-proxy,code-execution,exploit,medium,threat,asiapacific
35,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,http-proxy,code-execution,exploit,medium,threat,europe
7,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,neonet,code-execution,exploit,medium,threat,americas
49,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,neonet,code-execution,exploit,medium,threat,asiapacific
19,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,neonet,code-execution,exploit,medium,threat,japan
114,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,omegle,code-execution,exploit,medium,threat,americas
1,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,omegle,code-execution,exploit,medium,threat,asiapacific
441,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,web-browsing,code-execution,exploit,medium,threat,americas
5583,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,web-browsing,code-execution,exploit,medium,threat,asiapacific
22796,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,web-browsing,code-execution,exploit,medium,threat,europe
34,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,web-browsing,code-execution,exploit,medium,threat,japan
4,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,web-crawler,code-execution,exploit,medium,threat,europe
3,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,webdav,code-execution,exploit,medium,threat,americas
2,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,webdav,code-execution,exploit,medium,threat,asiapacific
3,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,0,code-execution,exploit,medium,threat,americas
6,Apache HTTP Server Reverse Proxy Security Bypass Vulnerability,0,code-execution,exploit,medium,threat,asiapacific
2,Apache mod_rewrite LDAP Scheme Handling OffbyOne Overflow,web-browsing,code-execution,exploit,high,threat,americas
1,Apache mod_rewrite LDAP Scheme Handling OffbyOne Overflow,web-browsing,code-execution,exploit,high,threat,asiapacific
9,Apache mod_rewrite LDAP Scheme Handling OffbyOne Overflow,web-browsing,code-execution,exploit,high,threat,europe
200,Apache SSI Error Page XSS Vulnerability,web-browsing,code-execution,exploit,medium,threat,americas
267,Apache SSI Error Page XSS Vulnerability,web-browsing,code-execution,exploit,medium,threat,asiapacific
155,Apache SSI Error Page XSS Vulnerability,web-browsing,code-execution,exploit,medium,threat,europe
4,Apache SSI Error Page XSS Vulnerability,web-browsing,code-execution,exploit,medium,threat,japan
3,Apache SSI Error Page XSS Vulnerability,0,code-execution,exploit,medium,threat,americas
6,Apache Tomcat Windows Installer Default Account Access Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
14,Apache Tomcat Windows Installer Default Account Access Vulnerability,0,code-execution,exploit,high,threat,europe
623,Apache Win32 batch file remote command execution vulnerability,web-browsing,code-execution,exploit,high,threat,americas
331,Apache Win32 batch file remote command execution vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
10760,Apache Win32 batch file remote command execution vulnerability,web-browsing,code-execution,exploit,high,threat,europe
12,Apache Win32 batch file remote command execution vulnerability,web-browsing,code-execution,exploit,high,threat,japan
529,Apache Win32 DOS Batch File Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,americas
267,Apache Win32 DOS Batch File Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
8593,Apache Win32 DOS Batch File Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
12,Apache Win32 DOS Batch File Arbitrary Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,japan
7,Apple iOS PDF Viewer FreeType 2 CFF Font Stack Corruption Vulnerability,web-browsing,overflow,exploit,critical,threat,americas
3,Apple iOS PDF Viewer FreeType 2 CFF Font Stack Corruption Vulnerability,web-browsing,overflow,exploit,critical,threat,europe
74,Apple iTunes ITMS URL Buffer Overflow Vulnerability,web-browsing,overflow,exploit,high,threat,asiapacific
5,Apple iTunes m3u Playlist File Title Parsing Buffer Overflow Vulnerability,http-audio,overflow,exploit,critical,threat,americas
8,Apple iTunes m3u Playlist File Title Parsing Buffer Overflow Vulnerability,smtp,overflow,exploit,critical,threat,americas
2,Apple iTunes m3u Playlist File Title Parsing Buffer Overflow Vulnerability,web-browsing,overflow,exploit,critical,threat,americas
1,Apple iTunes m3u Playlist File Title Parsing Buffer Overflow Vulnerability,web-browsing,overflow,exploit,critical,threat,asiapacific
1,Apple Mac OS X Finder DMG Volume Memory Corruption Vulnerability,imap,overflow,exploit,medium,threat,asiapacific
1,Apple Mac OS X Finder DMG Volume Memory Corruption Vulnerability,pop3,overflow,exploit,medium,threat,asiapacific
1,Apple Mac OS X Finder DMG Volume Memory Corruption Vulnerability,smtp,overflow,exploit,medium,threat,asiapacific
3,Apple Mac OS X QuickDraw GetSrcBits32ARGB Remote Memory Corruption Vulnerability,imap,code-execution,exploit,high,threat,asiapacific
2,Apple Mac OS X QuickDraw GetSrcBits32ARGB Remote Memory Corruption Vulnerability,pop3,code-execution,exploit,high,threat,asiapacific
3,Apple Mac OS X QuickDraw GetSrcBits32ARGB Remote Memory Corruption Vulnerability,smtp,code-execution,exploit,high,threat,asiapacific
2,Apple Mac OS X QuickDraw GetSrcBits32ARGB Remote Memory Corruption Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
1,Apple Mac OS X Terminal X-Man-Path Input Validation Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
2,Apple Mac OSX Archive Metadata Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
10,Apple Mac OSX Archive Metadata Command Execution Vulnerability,web-browsing,code-execution,exploit,high,threat,europe
1,Apple OSX Safari Format String Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
1,Apple QuickTime MOV File HREFTrack Cross-Zone Scripting Vulnerability,http-video,overflow,exploit,high,threat,americas
3,Apple Quicktime MOV File Type Tag heap Overflow Vulnerability,dropbox,overflow,exploit,high,threat,asiapacific
1,Apple QuickTime Player H.264 Parsing Buffer Overflow Vulnerability,flash,code-execution,exploit,critical,threat,americas
3,Apple QuickTime Player H.264 Parsing Buffer Overflow Vulnerability,flash,code-execution,exploit,critical,threat,asiapacific
3,Apple QuickTime Player H.264 Parsing Buffer Overflow Vulnerability,http-proxy,code-execution,exploit,critical,threat,japan
5,Apple QuickTime Player H.264 Parsing Buffer Overflow Vulnerability,http-video,code-execution,exploit,critical,threat,americas
3,Apple QuickTime Player H.264 Parsing Buffer Overflow Vulnerability,http-video,code-execution,exploit,critical,threat,asiapacific
